repo,language,title,url,comments,labels,created_at,updated_at
microsoft/ebpf-for-windows,C,OpenCppCoverage install step fails silently,https://github.com/microsoft/ebpf-for-windows/issues/5330,0,"['good first issue', 'ebpfjitter', 'triaged', 'P3']",2026-06-01,2026-06-01
microsoft/ebpf-for-windows,C,Cleanup: catch2 now allows multiple threads,https://github.com/microsoft/ebpf-for-windows/issues/4553,0,"['good first issue', 'cleanup', 'triaged', 'P3']",2025-07-31,2026-08-03
microsoft/msquic,C,Miss check for the return value of CXPLAT_ALLOC_NONPAGED and CxPlatPoolAlloc,https://github.com/microsoft/msquic/issues/5233,0,"['good first issue', 'help wanted', 'Area: Testing', 'Triaged', 'HowFound: MSR']",2025-07-10,2026-03-03
microsoft/jbpf,C,jbpf_io_ipc_test passes with error messages,https://github.com/microsoft/jbpf/issues/54,0,"['bug', 'good first issue']",2025-03-17,2025-03-27
microsoft/jbpf,C,Remove JBPF_EXPERIMENTAL_FEATURES from  header files,https://github.com/microsoft/jbpf/issues/26,0,['good first issue'],2024-12-13,2025-03-03
microsoft/ebpf-for-windows,C,Update tests/sample/undocked/map.c,https://github.com/microsoft/ebpf-for-windows/issues/4547,1,"['good first issue', 'cleanup', 'triaged', 'P3']",2025-07-30,2026-08-03
microsoft/ntttcp,C,per-thread throughput is always 0.00 with ntttcp version 5.40.,https://github.com/microsoft/ntttcp/issues/24,1,"['good first issue', 'help wanted']",2025-03-14,2026-02-17
microsoft/ntttcp,C,Incorrect processing of the test pattern,https://github.com/microsoft/ntttcp/issues/23,1,"['good first issue', 'help wanted']",2024-11-14,2026-02-17
microsoft/msquic,C,Support in-memory certificate stores,https://github.com/microsoft/msquic/issues/4951,2,"['good first issue', 'feature request', 'external', 'Area: API', 'Area: Core']",2025-03-27,2026-05-26
microsoft/ebpf-for-windows,C,ebpf-verifier is cloned twice,https://github.com/microsoft/ebpf-for-windows/issues/4174,2,"['good first issue', 'blocked', 'cleanup', 'triaged', 'P3']",2025-02-03,2026-08-03
microsoft/PowerToys,C,.opus support for Peek,https://github.com/microsoft/PowerToys/issues/42576,4,"['Idea-Enhancement', 'Help Wanted', 'Good first issue', 'Status-In progress', 'Product-Peek']",2025-10-18,2026-06-28
microsoft/msquic,C,Failing to use close-on-exec,https://github.com/microsoft/msquic/issues/4980,5,"['good first issue', 'OS: Windows (User)', 'OS: Linux', 'external', 'Bug: Platform', 'Triaged']",2025-04-08,2026-07-15
microsoft/profile-explorer,C#,Mapping code gap?,https://github.com/microsoft/profile-explorer/issues/7,0,"['enhancement', 'good first issue']",2025-02-10,2026-03-27
microsoft/WPF-Samples,C#,Sample Applications Update to Fluent Theme,https://github.com/microsoft/WPF-Samples/issues/680,0,"['easy', 'up-for-grabs', 'help wanted', 'good first issue']",2025-02-03,2025-02-03
microsoft/aspire,C#,[13.5] Capture Paused alignment,https://github.com/microsoft/aspire/issues/19018,1,"['good first issue', 'help wanted', 'area-dashboard']",2026-08-05,2026-08-06
microsoft/aspire,C#,[main] Auto Completion on Structured Logs filter,https://github.com/microsoft/aspire/issues/19015,1,"['good first issue', 'help wanted', 'area-dashboard']",2026-08-05,2026-08-06
microsoft/aspire,C#,[13.5] Logs filter should hide `UTC timestamps` option when `Show timestamps` is disabled,https://github.com/microsoft/aspire/issues/19019,3,"['good first issue', 'help wanted', 'area-dashboard']",2026-08-05,2026-08-06
microsoft/aspire,C#,Provide CSV export option in dashboard console logs,https://github.com/microsoft/aspire/issues/11121,3,"['good first issue', 'help wanted', 'area-dashboard']",2025-08-26,2026-07-04
microsoft/aspire,C#,"[nit]: ""Operation cancelled by user action"" log is too incessant",https://github.com/microsoft/aspire/issues/9311,3,"['good first issue', 'help wanted', 'area-cli']",2025-05-14,2026-08-06
microsoft/mcp,C#,"[COMMUNITY] Auto generate CHANGELOG, including adding contributors for each release",https://github.com/microsoft/mcp/issues/156,4,"['good first issue', 'help wanted', 'server-Azure.Mcp', 'Central-EngSys', 'community contribution']",2025-09-03,2026-07-07
microsoft/aspire,C#,Improve Exception Message for Missing Project Metadata Annotation in ResourceContainerImageBuilder.cs,https://github.com/microsoft/aspire/issues/11299,12,"['good first issue', 'area-app-model']",2025-09-09,2026-05-26
microsoft/snmalloc,C++,Implement accurate size storage for Windows `_msize` and `_recalloc`,https://github.com/microsoft/snmalloc/issues/786,0,"['enhancement', 'good first issue']",2025-07-02,2025-07-02
microsoft/react-native-windows,C++,Scroll wheel behavior differs significantly in new architecture (Windows App SDK) vs WinUI 3 Gallery app,https://github.com/microsoft/react-native-windows/issues/14653,1,"['bug', 'good first issue', 'Area: ScrollView', 'New Architecture', 'Parity: Windows', 'Workstream: Component Parity']",2025-05-08,2025-07-03
microsoft/react-native-windows,C++,Deprecate autolink functionality to copy flags from react-native.config.js into ExperimentalFeature.props.,https://github.com/microsoft/react-native-windows/issues/14601,1,"['good first issue', 'enhancement', 'Code Cleanup', 'Area: Autolinking']",2025-04-22,2025-06-11
microsoft/react-native-windows,C++,[Bug] init-windows adds incorrect name of Native Codegen File Include,https://github.com/microsoft/react-native-windows/issues/15094,4,"['bug', 'good first issue', 'Area: CLI']",2025-08-29,2026-08-04
godotengine/godot,C++,You're breathtaking!,https://github.com/godotengine/godot/issues/100000,34,"['discussion', 'good first issue']",2024-12-04,2026-07-14
godotengine/godot,C++,[TRACKER] Unit tests to add or improve,https://github.com/godotengine/godot/issues/43440,266,"['good first issue', 'tracker', 'topic:tests']",2020-11-10,2026-07-19
mattermost/mattermost-developer-documentation,CSS,Help Wanted: Document how to do local development on a plugin that requires an E20/Enterprise license,https://github.com/mattermost/mattermost-developer-documentation/issues/815,2,"['Help Wanted', 'Needs Documentation', 'Up For Grabs', 'Difficulty/1:Easy', 'Good first issue']",2021-05-04,2024-11-01
mattermost/mattermost-developer-documentation,CSS,Enhance Documentation for Registering Plugins on the Mattermost Webapp Sidebar,https://github.com/mattermost/mattermost-developer-documentation/issues/1352,3,"['Help Wanted', 'Up For Grabs', 'Good first issue']",2024-04-02,2025-12-04
mattermost/mattermost-developer-documentation,CSS,Help Wanted: Gitpod docs have outdated screenshots for the mattermost GitHub repository,https://github.com/mattermost/mattermost-developer-documentation/issues/1244,4,"['Help Wanted', 'Up For Grabs', 'Difficulty/1:Easy', 'Good first issue']",2023-05-04,2026-08-09
mattermost/mattermost-developer-documentation,CSS,Help Wanted: Open all external links in a new browser tab,https://github.com/mattermost/mattermost-developer-documentation/issues/1142,11,"['Help Wanted', 'Good first issue']",2022-10-07,2025-03-19
godotengine/emacs-gdscript-mode,Emacs Lisp,Rewrite gdscript-imenu to provide GDScript-specific tables,https://github.com/godotengine/emacs-gdscript-mode/issues/89,0,"['enhancement', 'good first issue', 'refactor']",2020-09-08,2020-09-08
godotengine/emacs-gdscript-mode,Emacs Lisp,Buffer does not revert or update instantly after formatting buffer,https://github.com/godotengine/emacs-gdscript-mode/issues/88,3,"['bug', 'good first issue']",2020-09-03,2020-09-10
godotengine/godot-benchmarks,GDScript,[Call to Action] Benchmarks for the benchmark server,https://github.com/godotengine/godot-benchmarks/issues/36,5,"['enhancement', 'good first issue']",2023-10-13,2024-06-24
godotengine/godot-benchmarks,GDScript,[TRACKER] Benchmarks to create,https://github.com/godotengine/godot-benchmarks/issues/11,11,"['enhancement', 'good first issue']",2022-08-09,2024-04-30
hashicorp/packer-plugin-azure,Go,Option to delete secret when build_key_vault_name is supplied,https://github.com/hashicorp/packer-plugin-azure/issues/506,0,['good first issue'],2025-07-01,2025-07-04
hashicorp/nomad,Go,unclear message in task event from executor crash,https://github.com/hashicorp/nomad/issues/24220,0,"['theme/driver/exec', 'theme/driver/raw_exec', 'good first issue', 'theme/bad-ux']",2024-10-15,2024-10-15
hashicorp/vault-secrets-operator,Go,Add allowedNamespaces spec to helm chart values.yaml,https://github.com/hashicorp/vault-secrets-operator/issues/426,0,"['enhancement', 'good first issue']",2023-10-24,2023-10-25
hashicorp/pandora,Go,tools/generator-terraform: validation function on lists/sets,https://github.com/hashicorp/pandora/issues/1514,0,"['bug', 'good first issue', 'tool/generator-terraform']",2022-09-16,2022-09-16
hashicorp/waypoint,Go,Replace pluralize helper in user-facing text,https://github.com/hashicorp/waypoint/issues/3446,0,"['enhancement', 'good first issue', 'ui']",2022-06-10,2022-06-15
hashicorp/consul-template,Go,Feature: parseInt and parseFloat should handle json.Number,https://github.com/hashicorp/consul-template/issues/1584,0,"['enhancement', 'good first issue']",2022-05-25,2022-05-25
mattermost/mattermost-plugin-mscalendar,Go,Improve layout of `viewcal` command,https://github.com/mattermost/mattermost-plugin-mscalendar/issues/325,0,"['Good First Issue', 'Hacktoberfest']",2023-08-31,2023-08-31
mattermost/mattermost-plugin-mscalendar,Go,Use button instead of link and update language for `/trigger connect` message,https://github.com/mattermost/mattermost-plugin-mscalendar/issues/316,0,"['Good First Issue', 'Hacktoberfest']",2023-08-31,2023-08-31
mattermost/mattermost-plugin-mscalendar,Go,Review `viewcal` command dates or help text,https://github.com/mattermost/mattermost-plugin-mscalendar/issues/315,0,"['Good First Issue', 'Hacktoberfest']",2023-08-31,2023-08-31
mattermost/mattermost-plugin-apps,Go,Test-App Subscribe commands error when trying to add a bot to the channel,https://github.com/mattermost/mattermost-plugin-apps/issues/461,0,"['Good First Issue', 'Help Wanted', 'Type/Bug', 'Difficulty/2:Medium', 'Tech/Go', 'Up For Grabs']",2023-03-14,2023-03-21
mattermost/release-bot,Go,Improve Bot Metrics,https://github.com/mattermost/release-bot/issues/4,0,"['good first issue', 'help wanted']",2022-09-06,2022-09-06
mattermost/ops-tool,Go,Integrate GitLab with Ops Tool,https://github.com/mattermost/ops-tool/issues/32,0,"['enhancement', 'good first issue', 'help wanted']",2022-08-08,2022-10-04
mattermost/notice-file-generator,Go,Missing dependencies for mattermost-focalboard project,https://github.com/mattermost/notice-file-generator/issues/11,0,"['bug', 'good first issue', 'help wanted']",2022-07-25,2022-07-25
mattermost/notice-file-generator,Go,Unrecognized imports for mattermost-server,https://github.com/mattermost/notice-file-generator/issues/10,0,"['bug', 'good first issue', 'help wanted']",2022-07-25,2022-07-25
mattermost/ops-tool,Go,Mattermost go client usage,https://github.com/mattermost/ops-tool/issues/30,0,"['enhancement', 'good first issue', 'help wanted']",2022-07-08,2022-08-15
mattermost/ops-tool,Go,Add data_source support so Dialog Options will be dynamic,https://github.com/mattermost/ops-tool/issues/29,0,"['enhancement', 'good first issue', 'help wanted']",2022-07-08,2022-08-15
